idx,영화제목,가격,할인된 가격,링크
0,테넷,할인하지 않는 영화입니다.,"₩8,500",/store/movies/details/%ED%85%8C%EB%84%B7?id=im5aWbjMKAQ.P
1,도굴,할인하지 않는 영화입니다.,"₩11,000",/store/movies/details/%EB%8F%84%EA%B5%B4?id=HQcgbruj254.P
2,해리포터와 마법사의 돌,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%A7%88%EB%B2%95%EC%82%AC%EC%9D%98_%EB%8F%8C?id=Ipgr-Lsi_x8.P
3,그린랜드,"₩11,000","₩7,700",/store/movies/details/%EA%B7%B8%EB%A6%B0%EB%9E%9C%EB%93%9C?id=JVGvjSIKKbY.P
4,날씨의 아이 (자막),할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EB%82%A0%EC%94%A8%EC%9D%98_%EC%95%84%EC%9D%B4_%EC%9E%90%EB%A7%89?id=kv6eF7g-kRc.P
5,나 홀로 집에 (자막판),할인하지 않는 영화입니다.,"₩1,400",/store/movies/details/%EB%82%98_%ED%99%80%EB%A1%9C_%EC%A7%91%EC%97%90_%EC%9E%90%EB%A7%89%ED%8C%90?id=ujpfszWE4P0
6,겨울왕국 2 (자막판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EA%B2%A8%EC%9A%B8%EC%99%95%EA%B5%AD_2_%EC%9E%90%EB%A7%89%ED%8C%90?id=9kTBYkw3zH8
7,해리포터와 비밀의방,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%B9%84%EB%B0%80%EC%9D%98%EB%B0%A9?id=A1mBZ7oCL0Y.P
8,해리포터와 아즈카반의 죄수,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EC%95%84%EC%A6%88%EC%B9%B4%EB%B0%98%EC%9D%98_%EC%A3%84%EC%88%98?id=uXJU05WwSGA.P
9,겨울왕국 2 (더빙판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EA%B2%A8%EC%9A%B8%EC%99%95%EA%B5%AD_2_%EB%8D%94%EB%B9%99%ED%8C%90?id=Bm0Lvhx7OUE
10,어벤져스 : 엔드게임 (자막판),할인하지 않는 영화입니다.,"₩7,200",/store/movies/details/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4_%EC%97%94%EB%93%9C%EA%B2%8C%EC%9E%84_%EC%9E%90%EB%A7%89%ED%8C%90?id=dNB_QMbwFWE
11,삼진그룹 영어토익반,"₩10,000","₩7,000",/store/movies/details/%EC%82%BC%EC%A7%84%EA%B7%B8%EB%A3%B9_%EC%98%81%EC%96%B4%ED%86%A0%EC%9D%B5%EB%B0%98?id=1PaIWSHxPq8.P
12,해리포터와 불의잔,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%B6%88%EC%9D%98%EC%9E%94?id=g8DVXNnwQgU.P
13,너의 이름은. (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%84%88%EC%9D%98_%EC%9D%B4%EB%A6%84%EC%9D%80_%EC%9E%90%EB%A7%89%ED%8C%90?id=VhVqtS2h7Og
14,나 홀로 집에 2,할인하지 않는 영화입니다.,"₩1,400",/store/movies/details/%EB%82%98_%ED%99%80%EB%A1%9C_%EC%A7%91%EC%97%90_2?id=6ofUnU-Yb5o
